VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDJX3AEXG,King,Renton,WA,98058,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,11,210641315,POINT (-122.1476337 47.4438471),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025804
5YJ3E1EA3L,King,Seattle,WA,98125,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,46,124517347,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102
1G1RC6S5XH,Kitsap,Port Orchard,WA,98367,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,26,7832933,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092902
1FMCU0EZXN,Yakima,Moxee,WA,98936,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,15,197264322,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
5YJ3E1EB8J,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,44,475227392,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008
1N4AZ0CP8F,Snohomish,Monroe,WA,98272,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,39,187075577,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052206
WP1AE2A21J,Snohomish,Everett,WA,98208,2018,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,44,122759276,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041606
1N4BZ1BV4N,Snohomish,Everett,WA,98208,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,150,31500,21,259974277,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041704
5YJ3E1EA2L,Kitsap,Port Orchard,WA,98366,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,26,6249078,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092600
1N4AZ1CP6J,Kitsap,Bremerton,WA,98312,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,31500,35,474183811,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700
5YJ3E1EA3J,King,Seattle,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,46,283964453,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5YJ3E1EB7K,Stevens,Colville,WA,99114,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,7,278862286,POINT (-117.885418 48.541035),AVISTA CORP,53065950300
5YJ3E1EC3L,Thurston,Yelm,WA,98597,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,2,254928768,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012531
5YJ3E1EB6K,King,Seattle,WA,98108,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,11,232690629,POINT (-122.3173531 47.5484673),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402
5YJ3E1EB2L,Chelan,Wenatchee,WA,98801,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,12,128897450,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007960700
YV4BR0CM2M,Kitsap,Bainbridge Island,WA,98110,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23,138397801,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
5YJ3E1EA4K,Kitsap,Silverdale,WA,98383,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,23,148566358,POINT (-122.7035285 47.660204),PUGET SOUND ENERGY INC,53035091201
5YJ3E1EB1J,King,Auburn,WA,98001,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,47,476632054,POINT (-122.2651204 47.3164638),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029902
1G1FY6S08K,Thurston,Tumwater,WA,98512,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,36620,22,251184825,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
1FTVW1EV4P,Thurston,Rochester,WA,98579,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,237709454,POINT (-123.0498592 46.8153419),PUGET SOUND ENERGY INC,53067012710
WMZYU7C41J,Kitsap,Poulsbo,WA,98370,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,23,110855916,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
KNDCR3LF8P,Snohomish,Monroe,WA,98272,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,239,39900,39,254596093,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203
5YJ3E1EA3J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,1,136972083,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB7J,Thurston,Olympia,WA,98512,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,22,474261763,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067011000
5YJ3E1EBXP,Yakima,Selah,WA,98942,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,266,39900,15,251783213,POINT (-120.5517376 46.6678647),PACIFICORP,53077003200
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,152408714,POINT (-120.530331 46.59534),PACIFICORP,53077000600
5YJ3E1EA6K,Thurston,Olympia,WA,98502,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,35,478146763,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067011902
5YJ3E1EA9L,Thurston,Lacey,WA,98503,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,39900,22,208467983,POINT (-122.80665 47.019564),PUGET SOUND ENERGY INC,53067011421
